0,Rock 'n' Roll Lifestyle,Motorcade of Generosity,Cake,1994
1,Mr. Mastodon Farm,Motorcade of Generosity,Cake,1994
2,Taking What's Not Yours,Who Really Cares,TV Girl,2016-02-25
3,Disco 2000,Different Class,Pulp,1995-10-30
4,Lipgloss,His N Hers,Pulp,1994-04-18
5,Common People,Different Class,Pulp,1995-10-30
6,Never There,Prolonging the Magic,Cake,1998-02-05
7,Car 24,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21
8,Big Machines and Peculiar Beings,Big Machines and Peculiar Beings,The Debauchees,2013-11-12
9,Mexico,Prolonging the Magic,Cake,1998-02-05
